corretora;produto;banco;liquidez;prazo;indexador;rentabilidade;valmin
1;1;BANCO BMG S.A;N;721;1;11300;10000
1;1;PARANA BANCO S.A;N;60;1;10000;10000
1;4;BANCO COOPERATIVO DO BRASIL S.A;N;90;1;8700;10000
1;1;BANCO ABN AMRO;N;90;1;9000;30000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;120;1;10150;10000
1;3;BANCO ABC BRASIL S.A;N;120;1;8750;10000
1;3;BANCO ABC BRASIL S.A;N;180;1;8900;10000
1;3;BANCO PAN S.A;N;180;1;9150;10000
1;1;HAITONG BANCO DE INVESTIMENTO DO BRASIL S.A;N;181;1;10000;50000
1;1;BANCO BMG S.A;N;181;1;10650;10000
1;1;BANCO PAULISTA S.A;N;181;1;10200;10000
1;1;BANCO DAYCOVAL S.A;N;181;1;10250;20000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;181;1;10250;10000
1;1;BANCO INDUSVAL & PARTNERS;N;181;1;10400;10000
1;1;PARANA BANCO S.A;N;181;1;10400;10000
1;1;BANCO PINE S.A;N;181;1;10400;10000
1;1;BANCO FATOR S.A;N;181;1;10100;10000
1;1;BANCO ABC BRASIL S.A;N;181;1;10050;50000
1;1;BANCO ABN AMRO;N;181;1;9050;30000
1;1;BANCO ORIGINAL S.A;N;181;1;10500;50000
1;3;BANCO ABC BRASIL S.A;N;360;1;9100;10000
1;3;BANCO PINE S.A;N;360;1;9300;10000
1;1;BANCO PAULISTA S.A;N;361;1;10400;10000
1;1;BANCO DAYCOVAL S.A;N;361;1;10500;20000
1;1;BANCO BMG S.A;N;361;1;10800;30000
1;1;PARANA BANCO S.A;N;361;1;10600;10000
1;1;BANCO PINE S.A;N;361;1;10500;10000
1;1;BR PARTNERS BANCO DE INVESTIMENTO S.A;N;361;1;10400;10000
1;1;BANCO FATOR S.A;N;361;1;10400;10000
1;1;BANCO ABC BRASIL S.A;N;361;1;10250;50000
1;1;BANCO ABN AMRO;N;361;1;9100;30000
1;1;BANCO INDUSVAL & PARTNERS;N;361;1;10600;10000
1;1;BANCO BONSUCESSO S.A;N;362;1;10600;30000
1;1;BANCO ORIGINAL S.A;N;415;1;10800;50000
1;3;BANCO PAN S.A;N;540;1;9450;10000
1;3;BANCO ABC BRASIL S.A;N;540;1;9200;50000
1;3;BANCO FIBRA S.A;N;556;1;9500;10000
1;3;BANCO ABC BRASIL S.A;N;720;1;9300;10000
1;3;BANCO PAN S.A;N;720;1;9550;10000
